TOL,BDRC,URL
P4115,P2414,https://treasuryoflives.org/biographies/view/Gharungwa-Lhai-Gyeltsen/4115
P4119,P2418,https://treasuryoflives.org/biographies/view/Orgyen-Dzongpa-Chokyong-Gyeltsen/4119
P4125,P2424,https://treasuryoflives.org/biographies/view/Pema-Dudul/4125
P4140,P2438,https://treasuryoflives.org/biographies/view/Pomdrakpa-Sonam-Dorje/4140
P4141,P244,https://treasuryoflives.org/biographies/view/Twelfth-Dalai-Lama-Trinle-Gyatso/4141
P4150,P2448,https://treasuryoflives.org/biographies/view/Kunga-Rinchen-Gyatso/4150
P4163,P246,https://treasuryoflives.org/biographies/view/Tenth-Tatsak-Jedrung-Ngawang-Pelden-Chokyi-Gyeltsen/4163
P4164,P2460,https://treasuryoflives.org/biographies/view/Sonam-Zangpo/4164
P4166,P2462,https://treasuryoflives.org/biographies/view/Jampa-Khawoche/4166
P4167,P2463,https://treasuryoflives.org/biographies/view/Drubchen-Kunga-Lodro/4167
P4168,P2464,https://treasuryoflives.org/biographies/view/Jamyang-Konchok-Zangpo/4168
P4170,P2466,https://treasuryoflives.org/biographies/view/Namkha-Chokyong/4170
